releaseName,bromaReleaseId,dbState,releaseId,trackId,errorMessage,bsonFixed,bromaStatus,hopeless
"Aap Jo Mere Meet Na Hote","44696","delivered","6a4902884028dc69f7855f9f","","","false","NOT_IN_BROMA",""
"Aap Ki Nazron Ne Samjha","44698","delivered","6a4903844028dc69f7855fa2","","","false","NOT_IN_BROMA",""
"Aap Ki Nazron Ne","44697","cancelled","6a4904274028dc69f7855fa5","","","false","NOT_IN_BROMA",""
"Ae Dil Kahin Se Unko","44695","cancelled","6a4908fd4028dc69f7855fad","","","false","NOT_IN_BROMA",""
"Sheeshe Ka Tha Dil Mera","44692","cancelled","6a49097d4028dc69f7855fb0","","","false","NOT_IN_BROMA",""
"Ae Dil-E-Nadan","44689","delivered","6a49098c4028dc69f7855fb3","","","false","NOT_IN_BROMA",""
"Aankh Milakar Loot Liya Dil","44693","cancelled","6a4909f94028dc69f7855fb6","","","false","NOT_IN_BROMA",""
"Ae Hawa Mere Sang Sang Chal","46792","failed","6a490ae64028dc69f7855fb9","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Ae Hawa Mere Sang","46791","failed","6a4910ef4028dc69f7855fbf","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Ae Ishq Humein Barbaad","46790","failed","6a4911634028dc69f7855fc2","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Hum Teri Mohabbat","44686","delivered","6a49a6194028dc69f7855fcb","","","false","NOT_IN_BROMA",""
"Hum To Tujhs","44684","delivered","6a49af624028dc69f7855fce","","","false","NOT_IN_BROMA",""
"Hum To Tujhse Mohabbat","44682","delivered","6a49afd94028dc69f7855fd1","","","false","NOT_IN_BROMA",""
"Hum To Tujhse","44683","delivered","6a49b0454028dc69f7855fd4","","","false","NOT_IN_BROMA",""
"Hum Tumhare Hain","46789","failed","6a49b0ad4028dc69f7855fd7","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Hum Tumhein Itna","44679","delivered","6a49b1af4028dc69f7855fdd","","","true","NOT_IN_BROMA",""
"Hum Tumhein Pyar","44675","delivered","6a49b2194028dc69f7855fe0","","","false","NOT_IN_BROMA",""
"Hum Tumko Nigahon","44678","delivered","6a49b2eb4028dc69f7855fe3","","","false","NOT_IN_BROMA",""
