relName,bid,state,releaseId,trackId,error,bsonTag,category,bromaModStatus,bromaStep,inDrafts,inReleases
"Aap Jo Mere Meet Na Hote",43768,delivered,6a47de5cb1de8b210ab4d88b,,"",,NOT_IN_BROMA,-,-,false,false
"Ae Kaash Kahin Aisa Hota 2.0",43767,delivered,6a47deb6b1de8b210ab4d88e,,"",,NOT_IN_BROMA,-,-,false,false
"Ap Jo Mere Meet Na Hote",43765,delivered,6a47df1ab1de8b210ab4d891,,"",,NOT_IN_BROMA,-,-,false,false
"Barsaat Ke Mausam Mein",43763,delivered,6a47df8cb1de8b210ab4d894,,"",,NOT_IN_BROMA,-,-,false,false
"Beqaraar Karke Humein Yun Na Jaiye",43761,delivered,6a47dfe1b1de8b210ab4d897,,"",,NOT_IN_BROMA,-,-,false,false
"Bhool Na Jana Na Hona Anjaan",43759,delivered,6a47e066b1de8b210ab4d89a,,"",,NOT_IN_BROMA,-,-,false,false
"Chaale To Kaat Hi Jaayenge Safar",43757,delivered,6a47e0d3b1de8b210ab4d89d,,"",,NOT_IN_BROMA,-,-,false,false
"Bheegi Hui Hai",43753,delivered,6a45d0b885cfdba38620b049,,"",,NOT_IN_BROMA,-,-,false,false
"Kisi Din Banoongi Main Raja Ki Rani",43752,delivered,6a45d13e85cfdba38620b04c,,"",,NOT_IN_BROMA,-,-,false,false
"Bhige Na Kajarawa",43748,delivered,6a45d15185cfdba38620b04f,,"",,NOT_IN_BROMA,-,-,false,false
"Bina tohre kaise bitaibe",43747,delivered,6a45d1c385cfdba38620b052,,"",,NOT_IN_BROMA,-,-,false,false
"LEKE PEHLA PEHLA PYAR",43746,delivered,6a45d1d585cfdba38620b055,,"",,NOT_IN_BROMA,-,-,false,false
"Mera Dil Ye Pukare Aaja",43742,delivered,6a45d24f85cfdba38620b058,,"",,NOT_IN_BROMA,-,-,false,false
"Neele Neele Ambar Par",43741,delivered,6a45d2cc85cfdba38620b05b,,"",,NOT_IN_BROMA,-,-,false,false
"O Haseena Zulfon Wali",43740,delivered,6a45d35e85cfdba38620b063,,"",,NOT_IN_BROMA,-,-,false,false
"Bole Mora Kang",43737,delivered,6a45d3ee85cfdba38620b066,,"",,NOT_IN_BROMA,-,-,false,false
"Bole Mora Kangna",43736,delivered,6a45d4a185cfdba38620b069,,"",,NOT_IN_BROMA,-,-,false,false
"Caller Tune",43733,delivered,6a45d51a85cfdba38620b06c,,"",,NOT_IN_BROMA,-,-,false,false
"Milo Na Tumto",43732,delivered,6a45defd85cfdba38620b06f,,"",,NOT_IN_BROMA,-,-,false,false
"Na Na Karte Pyar Hai Main Kar Gayi",43729,delivered,6a45dfac85cfdba38620b072,,"",,NOT_IN_BROMA,-,-,false,false
"Pardesiya Yeh Sach Hai Piya",43728,delivered,6a45e01c85cfdba38620b075,,"",,NOT_IN_BROMA,-,-,false,false
"Phulori Bina Chutney Kaise Bani",43724,delivered,6a45e07385cfdba38620b078,,"",,NOT_IN_BROMA,-,-,false,false
"Tere Bina",43723,delivered,6a45e0cb85cfdba38620b07b,,"",,NOT_IN_BROMA,-,-,false,false
